Ticker	Name	Weight	Shares	Price
TEL UN Equity	TE Connectivity Ltd	--	--	127.75
COO UN Equity	Cooper Cos Inc/The	--	--	384.19
DFS UN Equity	Discover Financial Services	--	--	110.17
V UN Equity	Visa Inc	--	--	203.08
MAA UN Equity	Mid-America Apartment Communities Inc	--	--	207.47
XYL UN Equity	Xylem Inc/NY	--	--	85.13
MPC UN Equity	Marathon Petroleum Corp	--	--	76.56
TSCO UW Equity	Tractor Supply Co	--	--	228.38
AMD UW Equity	Advanced Micro Devices Inc	--	--	104.65
RMD UN Equity	ResMed Inc	--	--	242.44
MTD UN Equity	Mettler-Toledo International Inc	--	--	1329.21
CPRT UW Equity	Copart Inc	--	--	117.26
ALB UN Equity	Albemarle Corp	--	--	182.69
FTNT UW Equity	Fortinet Inc	--	--	280.05
MRNA UW Equity	Moderna Inc	--	--	164.74
ESS UN Equity	Essex Property Trust Inc	--	--	339.76
O UN Equity	Realty Income Corp	--	--	65.95
WRK UN Equity	Westrock Co	--	--	45.06
WAB UN Equity	Westinghouse Air Brake Technologies Corp	--	--	89.52
POOL UW Equity	Pool Corp	--	--	444.94
WDC UW Equity	Western Digital Corp	--	--	45.08
PEP UW Equity	PepsiCo Inc	--	--	156.39
FANG UW Equity	Diamondback Energy Inc	--	--	124.71
NOW UN Equity	ServiceNow Inc	--	--	521
CHD UN Equity	Church & Dwight Co Inc	--	--	95.81
DRE UN Equity	Duke Realty Corp	--	--	54.05
FRT UN Equity	Federal Realty Investment Trust	--	--	118.87
MGM UN Equity	MGM Resorts International	--	--	40.42
AEP UW Equity	American Electric Power Co Inc	--	--	95.19
SEDG UW Equity	SolarEdge Technologies Inc	--	--	313.36
PTC UW Equity	PTC Inc	--	--	105
JBHT UW Equity	JB Hunt Transport Services Inc	--	--	197.4
LRCX UW Equity	Lam Research Corp	--	--	488.22
MHK UN Equity	Mohawk Industries Inc	--	--	132.76
PNR UN Equity	Pentair PLC	--	--	54.55
VRTX UW Equity	Vertex Pharmaceuticals Inc	--	--	240.76
AMCR UN Equity	Amcor PLC	--	--	11.315
FB UW Equity	Meta Platforms Inc	--	--	191.49
TMUS UW Equity	T-Mobile US Inc	--	--	125.45
URI UN Equity	United Rentals Inc	--	--	329.05
ABMD UW Equity	ABIOMED Inc	--	--	288.23
HON UW Equity	Honeywell International Inc	--	--	184.88
ARE UN Equity	Alexandria Real Estate Equities Inc	--	--	189.2
DAL UN Equity	Delta Air Lines Inc	--	--	32.93
STX UW Equity	Seagate Technology Holdings PLC	--	--	87.18
UAL UW Equity	United Airlines Holdings Inc	--	--	35.985
NWS UW Equity	News Corp	--	--	21.62
CNC UN Equity	Centene Corp	--	--	83.96
MLM UN Equity	Martin Marietta Materials Inc	--	--	374.74
TER UW Equity	Teradyne Inc	--	--	111.31
PYPL UW Equity	PayPal Holdings Inc	--	--	99.93
TSLA UW Equity	Tesla Inc	--	--	795.83
DISH UW Equity	DISH Network Corp	--	--	30.46
DOW UN Equity	Dow Inc	--	--	60.47
PENN UW Equity	Penn National Gaming Inc	--	--	43.35
RE UN Equity	Everest Re Group Ltd	--	--	276.37
TDY UN Equity	Teledyne Technologies Inc	--	--	420.22
NWSA UW Equity	News Corp	--	--	21.185
EXC UW Equity	Exelon Corp	--	--	43.74
GPN UN Equity	Global Payments Inc	--	--	128.67
CCI UN Equity	Crown Castle International Corp	--	--	173.12
APTV UN Equity	Aptiv PLC	--	--	108.54
AAP UN Equity	Advance Auto Parts Inc	--	--	201.36
ALGN UW Equity	Align Technology Inc	--	--	396.75
ILMN UW Equity	Illumina Inc	--	--	311.05
LKQ UW Equity	LKQ Corp	--	--	45.7
NLSN UN Equity	Nielsen Holdings PLC	--	--	17.55
ZTS UN Equity	Zoetis Inc	--	--	186.15
EQIX UW Equity	Equinix Inc	--	--	694.79
DLR UN Equity	Digital Realty Trust Inc	--	--	132.69
LVS UN Equity	Las Vegas Sands Corp	--	--	34.075
